1200,0.040692,7.0176e-06,398.94
1250,0.070422,1.1192e-05,690.41
1300,0.0030471,4.4775e-07,29.873
1350,0.010852,1.4788e-06,106.4
1400,0.0011632,1.4737e-07,11.404
1450,0.0018442,2.1783e-07,18.081
1500,0.017035,1.8802e-06,167.01
1550,0.00082533,8.5311e-08,8.0915
1600,0.083871,8.136e-06,822.26
1650,0.0010358,9.4484e-08,10.155
1700,0.0034555,2.9693e-07,33.878
1750,0.00067471,5.4712e-08,6.6148
1800,0.022934,1.7578e-06,224.84
1850,0.014862,1.0784e-06,145.71
1900,0.0016415,1.1292e-07,16.093
1950,0.0081544,5.3255e-07,79.945
2000,0.022227,1.3799e-06,217.91
2050,0.010734,6.343e-07,105.24
2100,0.00088535,4.9856e-08,8.6799
2150,0.028912,1.5533e-06,283.45
2200,0.056433,2.8955e-06,553.26
2250,0.49652,2.4356e-05,4867.8
2300,0.03659,1.7177e-06,358.72
2350,0.018451,8.2969e-07,180.89
2400,0.038477,1.6589e-06,377.22
2450,0.031698,1.3114e-06,310.76
2500,0.0072049,2.8628e-07,70.636
2550,0.014076,5.3757e-07,138
2600,0.011332,4.163e-07,111.1
2650,0.020195,7.1417e-07,197.99
2700,0.25661,8.7415e-06,2515.8
2750,0.02003,6.5774e-07,196.37
2800,0.020958,6.6387e-07,205.47
2850,0.057461,1.7568e-06,563.35
2900,0.020493,6.0512e-07,200.91
2950,0.018003,5.1374e-07,176.5
3000,0.0044661,1.2323e-07,43.785
3050,5.4045e-05,1.4428e-09,0.52985
3100,0.017142,4.4297e-07,168.06
3150,7.7337e-07,1.9356e-11,0.0075821
3200,2.3441e-06,5.6849e-11,0.022982
